#! form	Tolmen	Sirevi
k_watu	kvat	padu
g_wena:	gvenoː	bɛna
sok_wu	sok	sogu
ek_wos	ekəs	jɛgɔ
buk_wa	bok	buba
g_wi:was	gvejvəs	biva
hanti	hint	ãti
kalima	t͡ʃeləm	kalima
kalita:nas	t͡ʃeltoːnəs	kalidana
mu:na	mown	muna
doru	dor	doru
dori	dør	dori
stu:la	ʃtowl	idula
lu:kis	løjkəs	lut͡ʃi
nakti	next	natti
laktis	lextəs	latti
be:ra	biːr	bera
rawi	rew	ravi
jukom	jukən	d͡ʒugɔ̃
wira	ver	bira
wulpa	olp	upa
jiras	erəs	ira
kanta	kant	kãta
kamra	kammər	kãbra
kanra	kannər	kãdra
tlaka	klak	kjaga
sraka	ʃtrak	idraga
tehunas	tewnəs	tona
pihi	pej	pi
sela	sel	sjɛla
kelu	t͡ʃel	t͡ʃelu
dalgas	dalgəs	doga
mansa	moːs	mãsa
jasi	jes	d͡ʒazi
kasu	kas	kazu
kasus	kasəs	kazu
wasa:	varoː	baza
anku	aŋk	ãku
tukjas	tyt͡ʃəs	tut͡ʃa
matja	met͡ʃ	masa
bodja	bøt͡ʃ	bwɔʒa
kalias	t͡ʃeljəs	kaja
kuni	t͡ʃyn	kuni
pe:kis	piːkəs	pet͡ʃi
helma	helm	oma
alkis	elkəs	ot͡ʃi
snig_was	ʃnegvəs	isniva
supnas	sopnəs	sunna
hrenka	riŋk	rɛ̃ka
niwis	nivəs	nivi
tarkis	terkəs	tart͡ʃi
