#! form	gloss
%% Proto-Ashkari, in X-SAMPA (lib:ipa.yasc).  Stress: first long vowel, else initial.
k_watu	water
g_wena:	woman
sok_wu	eye
ek_wos	horse
buk_wa	mouth
g_wi:was	alive
hanti	hand
kalima	to speak
kalita:nas	speaker
mu:na	moon
doru	tree
dori	trees
stu:la	star
lu:kis	light
nakti	night
laktis	milk
be:ra	bear
rawi	red
jukom	yoke
wira	man
wulpa	fox
jiras	ice
kanta	song
kamra	room
kanra	edge
tlaka	flat
sraka	stream
tehunas	to drink
pihi	to see
sela	sun
kelu	cold
dalgas	long
mansa	goose
jasi	wind
kasu	house
kasus	houses
wasa:	skin
anku	iron
tukjas	hunter
matja	mother
bodja	gift
kalias	sister
kuni	kin
pe:kis	fish
helma	helmet
alkis	elk
snig_was	snow
supnas	sleep
hrenka	ring
niwis	new
tarkis	wolf
