FACTUM	[ˈetʃo]	hecho
NOCTEM	[ˈnotʃe]	noche
OCTŌ	[ˈotʃo]	ocho
LACTEM	[ˈletʃe]	leche
STRICTUM	[esˈtɾetʃo]	estrecho
MULTUM	[ˈmutʃo]	mucho
OCULUM	[ˈoxo]	ojo
FĪLIUM	[ˈixo]	hijo
FOLIAM	[ˈoxa]	hoja
PETRAM	[ˈpjedɾa]	piedra
PORTAM	[ˈpweɾta]	puerta
BONUM	[ˈbweno]	bueno
TERRAM	[ˈtjera]	tierra
FERRUM	[ˈjero]	hierro
SEPTEM	[ˈsjete]	siete
CENTUM	[ˈθjento]	ciento
NOVUM	[ˈnwebo]	nuevo
CLĀVEM	[ˈʎabe]	llave
PLĒNUM	[ˈʎeno]	lleno
FLAMMAM	[ˈʎama]	llama
CAPILLUM	[kaˈbeʎo]	cabello
ANNUM	[ˈaɲo]	año
SENIŌREM	[seˈɲoɾ]	señor
ARĀNEAM	[aˈɾaɲa]	araña
LUPUM	[ˈlobo]	lobo
VĪTAM	[ˈbida]	vida
VĪNUM	[ˈbino]	vino
MĀTŪRUM	[maˈduɾo]	maduro
AMĪCUM	[aˈmigo]	amigo
FĪCUM	[ˈigo]	higo
FOCUM	[ˈfwego]	fuego
LOCUM	[ˈlwego]	luego
CAPRAM	[ˈkabɾa]	cabra
TŌTUM	[ˈtodo]	todo
MANUM	[ˈmano]	mano
SPATAM	[esˈpada]	espada
SCOLAM	[esˈkwela]	escuela
ACUAM	[ˈagwa]	agua
FARĪNAM	[aˈɾina]	harina
SAPŌREM	[saˈboɾ]	sabor
PĀNEM	[ˈpan]	pan
MARE	[ˈmaɾ]	mar
SŌLEM	[ˈsol]	sol
MĀTREM	[ˈmadɾe]	madre
CANTĀRE	[kanˈtaɾ]	cantar
CĪVITĀTEM	[θjuˈdad]	ciudad
FĒMINAM	[ˈemna]	hemna
DECEM	[ˈdjeθ]	diez
